title,link,content
[만취해 택시기사·경찰관 폭행한 공군 대위 체포],https://n.news.naver.com/mnews/article/001/0014460076?sid=102,"[




서울 종로경찰서 엠블럼촬영 이충원(미디어랩)    (서울=연합뉴스) 박수윤 최원정 기자 = 현직 공군 장교가 술에 취해 택시기사와 경찰관을 폭행한 혐의로 현행범 체포됐다.    22일 경찰에 따르면 서울 종로경찰서는 전날 오후 9시 40분께 서울 종로구 관수동에서 택시기사를 폭행하고 현장에 출동한 경찰관에게도 주먹을 휘두른 혐의로 A 대위를 체포해 조사 중이다. A 대위는 범행 당시 만취 상태였다.    경찰은 조사 과정에서 A씨가 현역 장교라는 사실을 파악해 신병을 헌병대에 인계할 방침이다.    공군 관계자는 ""경찰로부터 사건을 넘겨받는 대로 법과 규정에 따라 엄정하게 조치할 계획""이라고 밝혔다.    away777@yna.co.kr
]"
[출격 준비하는 영국 공군 전투기],https://n.news.naver.com/mnews/article/003/0012333526?sid=104,"[




[아크로티리=AP/뉴시스] 영국 국방부가 제공한 사진에 22일(현지시각) 키프로스 내 영국 영토 아크로티리 기지에서 영국 공군 전투기 '타이푼 FGR4'가 예멘 내 후티 군사 목표물을 공습하기 위해 출격 준비를 하고 있다. 미군과 영국군은 예멘 내 이란의 지원을 받는 후티 반군의 시설 등 8곳을 폭격했다. 2024.01.23.[사진 영상 제보받습니다] 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다. 뉴스 가치나 화제성이 있다고 판단되는 사진 또는 영상을 뉴시스 사진영상부(n-photo@newsis.com)로 보내주시면 적극 반영하겠습니다.
]"
"[공군 38전대, 전북혈액원에 헌혈증 3008장 기부]",https://n.news.naver.com/mnews/article/421/0007306512?sid=102,"[




공군 제38전투비행전대 장병들이 22일 전북혈액원 군산센터 헌혈의 집을 찾아 헌혈증 3008장을 전달하고 있다.(38전대 제공) 2024.1.22/뉴스1(군산=뉴스1) 김재수 기자 = 공군 제38전투비행전대(이하 38전대)는 22일 전북혈액원 군산센터 '헌혈의 집'을 찾아 헌혈증 3008장(혈액량 120만㏄)을 기부했다. 38전대는 분기별로 사랑의 헌혈 운동을 진행해 왔으며, 장병들이 혈액이 부족해 어려움을 겪고 있는 환자를 돕기 위해 6년간 자발적으로 모아온 것이다.전북혈액원은 기증받은 헌혈증을 환자들의 수술치료에 사용할 예정이다.강진석 전북혈액원장은 ""헌혈증 수급이 어려운 상황에서 38전대 장병들의 헌혈증 기부는 환자들에게 큰 힘이 될 것이다""며 고마움을 전했다.최원석 38댄전 주임원사는 ""장병들이 나서서 뜻깊은 일에 동참해 주어 뿌듯하고 감사하다""며 ""앞으로도 생명을 살리는 헌혈문화 정착을 위해 노력하겠다""고 말했다.
		]"
[이라크 알아사드 美공군기지 공격받아…바그다드 부근 무인기도 추락],https://n.news.naver.com/mnews/article/003/0012330213?sid=104,"[




[모술= AP/뉴시스]이라크 알아사드 공군기지에 대한 공격으로 미군 병력이 다쳤다고 미국 관리가 밝혔다. 사진은 2017년 2월23일 당시 이라크 모술 남부의 이라크-미국 연합부대 기지에서 미군들이 장갑차 앞에 서 있는 모습. 2024.01.20.  .  [서울=뉴시스] 박준호 기자 = 이라크 알아사드 공군기지에 대한 공격으로 미군 병력이 다쳤다고 미국 관리가 밝혔다. 부상자가 몇 명인지, 상태가 어떤지는 즉각 확인되지 않았다.20일(현지시간) CNN에 따르면 이라크 안바르주의 알바그다디 시장은 이날 CNN과의 인터뷰에서 알아사드 공군기지가 다수의 로켓 공격을 받았고 방공망이 이를 요격했다고 말했다. 로켓은 알바그다디 지역 북동쪽에서 발사됐다고 그는 설명했다.  이란의 지원을 받고 있는 이라크 무장조직 이슬라믹 레지스턴스(Islamic Resistance)는 이번 미사일 공격이 자신들의 소행이라고 주장했다.이 단체는 20일 낸 성명에서 이 지역에서 미국의 ""점령군""에 저항하겠다는 의지를 강조했으며, 이번 공격은 가자지구의 팔레스타인 주민들에 대한 ""시오니스트 단체의 학살""에 대한 대응이라고 언급했다.  이란의 지원을 받는 시아파 민병대가 드론과 로켓 공격을 반복하면서 지난해 10월7일 이후 이라크와 시리아에서 미군과 연합군이 143차례 이상 무장세력의 공격을 받았다.이라크와 시리아 주둔 미군은 극단주의 무장단체 이슬람국가(IS) 격퇴를 위한 연합군의 일부로 활동하고 있다. 유엔 사무총장의 이라크 특별대표는 성명을 통해 이 지역이 가자 전쟁에서 비롯된 '중요한 고비'에 처해 있으며 이는 이라크를 분쟁으로 더 끌어들일 위험이 있다고 경고했다.또 성명에서 ""이라크의 긴장이 고조되는 것을 막으려는 정부의 노력에도 불구하고, 이라크 국경 안팎에서 비롯된 지속적인 공격은 어렵게 얻은 이라크의 안정과 최근 몇 년간 성취한 성과를 되돌리기 위한 것이다""라고 우려했다.앞서 지난 15일 이라크 북부지역은 이란 혁명수비대가 이스라엘 정보기관 모사드의 스파이 기지라고 주장한 것을 근거로, 이란 혁명수비대의 표적적이 되어 탄도미사일 공격을 받은 바 있다. 미국은 이 공격이 ""무모하고 부정확한 것""이라고 비난했다.  한편 미군의 MQ-9 리퍼 무인기가 이라크 수도 바그다드 북쪽 발라드 공군기지 인근에 추락한 사실을 미국 관리가 확인했다고 이란 국영 IRNA통신이 20일(현지시간) 보도했다.



[바그다드=AP/뉴시스]4일(현지시간) 이라크 수도 바그다드에서 공습을 받은 후 이라크 시아파 무장단체 대원들이 인민동원군(PMF) 본부 밖에 서 있다. 2024.01.20.이라크 위성방송인 알수마리아TV에 따르면, 익명을 요구한 미 국방부 관리는 현지 시간으로 18일 오후 무인기가 추락했다고 말했다.이 미국 관리는 드론이 이라크 보안군에 의해 회수됐다는 문제를 지적하면서 파손된 드론이 아직 미국에 반환되지 않았는지, 드론이 추락했는지, 격추됐는지 확실하지 않아 당국이 사건의 배후를 계속 조사하고 있다고 밝혔다.앞서 일부 이라크 무장단체들은 스파이 활동과 폭격 목적으로 사용되던 미군 MQ-9 무인기를 이라크 영공 상공에서 격추했다고 발표했다.이라크 내 무장세력 이슬라믹 레지스턴스도 18일 밤 성명을 내 이라크 동부에서 미국 무인기를 격추한 책임이 자신들에게 있다고 주장했다. . 격추된 무인기는 쿠웨이트의 알리 알 살렘 공군기지에서 이라크 동부의 디얄라 주를 향해 비행하고 있었다.지난해 10월7일 가자지구에 대한 이스라엘 정부의 공격이 시작된 후 이라크 내 무장조직 이슬라믹 레지스턴스는 미국이 하마스와 전쟁 중인 이스라엘을 전면적으로 지원한 데 대한 보복으로 이라크와 시리아의 미군 기지를 대거 공격했다．
]"
"[미 공군 첨단정찰기, '北 핵어뢰 시험' 주장 사흘 만에 출격]",https://n.news.naver.com/mnews/article/437/0000376412?sid=100,"[
  북한이 수중 핵무기 체계인 '해일' 시험을 했다고 주장한 지 사흘 만에 미국 첨단 정찰기가 한반도 상공을 비행한 것으로 나타났습니다.     항공기와 전투기 궤적을 추적하는 민간 항공추적사이트와 군 당국 등에 따르면 미국 공군 통신감청 정찰기인 '리벳 조인트' (RC-135V)가 오늘(22일) 경기도와 강원도 내륙을 왕복 비행했습니다.     리벳 조인트는 첨단 전자센서를 장착해 수백 킬로미터 밖에서도 미사일 발사 준비 신호를 포착할 수 있습니다.     이번에 노출된 항적을 보면 인천 앞 서해와 수도권 남부 내륙 상공을 광범위하게 비행한 것으로 나타났습니다. 동해와 서해 상공에서도 장시간 항적을 노출했습니다.    이번 출격은 북한이 지난 19일 수중 핵무기 체계 '해일-5-23'의 중요 시험을 했다고 주장한 지 사흘 만입니다. 지난 4일과 17일에도 출격했지만 당시에는 내륙 상공에서만 항적을 노출했습니다.    군 관계자는 “미군 정찰기가 장시간 항적을 노출한 것은 이례적으로 볼 수 있다”고 말했습니다. 북한의 수중 핵무기 체계 시험 주장 이후 미군 측이 북한의 도발에 대한 정찰을 강화했다는 분석이 나옵니다. 
]"
[우크라 상공서 로켓 발사하는 러시아 공군 Su-25],https://n.news.naver.com/mnews/article/003/0012333352?sid=104,"[




[도네츠크=AP/뉴시스] 22일(현지시각) 러시아 국방부가 공개한 영상 사진에 러시아 공군의 Su-25 지상 공격기가 우크라이나 상공에서 로켓을 발사하는 모습이 또 다른 항공기의 조종석에서 관측되고 있다. 2024.01.23.[사진 영상 제보받습니다] 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다. 뉴스 가치나 화제성이 있다고 판단되는 사진 또는 영상을 뉴시스 사진영상부(n-photo@newsis.com)로 보내주시면 적극 반영하겠습니다.
]"
"[美·英, 예멘 후티 반군 추가 공습…타깃은 미사일기지]",https://n.news.naver.com/mnews/article/022/0003897444?sid=104,"[
美·英, 함대 후티 반군 미사일 보관고와 발사대 공격예멘 내 후티 반군 군사시설에 대한 두 번째 연합 작전예맨 수도 사나와 여러 주가 폭격을 당했다는 보도 



   예멘 후티 반군 폭격에 참여한 영국 공군의 타이푼 전투기. 연합뉴스       미국과 영국이 예멘 내 후티 반군 군사시설을 공습하는 두 번째 연합 작전을 벌였다.     22일(현지시각) AP 통신과 로이터 통신은 익명의 미국 정부 당국자들을 인용해 예멘 인근 해역에 배치된 미국·영국의 함대가 후티 반군 미사일 보관고와 발사대 등을 공격했다고 보도했다.     미 해군 항공모함 드와이트 아이젠하워호 또는 현지 공군기지에서 출격한 전투기들이 폭격을 가하고, 다른 수상함과 잠수함들도 토마호크 순항 미사일을 발사한 것으로 알려졌다.     후티 반군의 영향권 내에 있는 현지 매체들은 예멘 수도 사나와 여러 주가 폭격을 당했다고 보도했다.     미국과 영국은 지난 12일에도 연합 작전을 전개해 후티 반군이 장악한 예멘 내 28개소에서 60개가 넘는 목표물을 타격한 바 있다.     한편 후티 반군은 가자지구의 팔레스타인인을 돕는다는 명분을 앞세우며 2023년 11월부터 아시아와 유럽을 잇는 주요 교역로인 홍해를 지나는 상선을 공격해왔다.     이에 따라 국제 물류에서 심각한 혼란이 생겼고, 미국은 다국적 함대를 구성해 지난 12일부터 예멘 내 군사시설을 폭격해왔다.
]"
[공군장교·하버드생·미스아메리카 우승…“소설 주인공도 욕먹을 갓벽녀”],https://n.news.naver.com/mnews/article/009/0005245777?sid=104,"[
미스 아메리카 매디슨 마시공군장교로 하버드대 석사암 관련 정책지원 연구 목표



 매디슨 마시 [사진 = 연합뉴스]미국 최고 미인을 뽑는 미스 아메리카 대회에서 현역 공군 장교가 우승해 화제다. ‘탑건’ 같은 공군조종사와 우주 비행사를 꿈꾸다 최근 암 연구로 전향한 재원이다.15일(현지시간) CNN에 따르면 전날 플로리다주(州) 올랜도 월트디즈니 극장에서 열린 2024년 미스 아메리카 대회에서 공군 소위 매디슨 마시(22)가 왕관의 주인공이 됐다.



 2024년 미스아메리카 대회에서 우승을 차지한 매디슨 마시. [사진 = 연합뉴스]마시는 지난해 미 공군사관학교를 졸업한 현역 소위다. 이번 대회에는 학교의 허가를 받고 콜로라도 대표로 참가했다. 현역 공군 장교가 주 대표로 전국대회에 참가한 것과, 미스 아메리카가 된 것 모두 이번이 처음이다.미스 콜로라도 홈피이지에 등록된 프로필에 따르면 마시는 태권도 검은띠 보유자이기도 하다.그는 “사관학교에서 최상의 신체 조건을 유지하기 위해 체육관에서 시간을 보냈다”며 “어떻게 보면 미인대회 출전 준비를 한 것이나 마찬가지”라고 말했다.



 2024년 미스아메리카 대회에서 우승을 차지한 매디슨 마시가 왕관을 쓰고 있다. [사진 = 연합뉴스]마시는 현재 하버드대 케네디스쿨 공공정책학 석사 과정에 재학 중이다. 학부 때 물리학을 전공한 그는 하버드 의대에서 대학원생 인턴 자격으로 인공지능(AI)을 이용해 췌장암을 진단하는 기술을 연구하고 있다. 지난 2018년 모친이 췌장암으로 사망하면서 암 연구에 관심을 가지게 된 것으로 알려졌다.마시는 “공군사관학교 졸업을 앞두고 공공정책과 암 연구에 더 큰 열정이 있다는 사실을 깨닫게 됐다”며 “암 극복을 위한 정책적인 지원이 충분히 이뤄지지 않는 현실과 관련해 경제·사회적 요인 등을 연구하고 싶다”고 말했다.
]"
"[현직 美 공군 장교, 미스 아메리카 우승 차지]",https://n.news.naver.com/mnews/article/277/0005367374?sid=104,"[
""여군에 대한 고정관념 깨뜨릴 수 있는 기회""미국의 현역 공군 장교가 최초로 전미 최고의 미인을 뽑는 '미스 아메리카' 대회에 참가해 우승까지 차지했다.



‘미스 아메리카’에서 우승한 메디슨 마쉬 미국 공군 중위. [사진출처=CNN, 인스타그램 갈무리]15일(현지시간) CNN 등 외신은 14일 플로리다주 올랜도 월트디즈니 극장에서 열린 2024년 미스 아메리카 대회에서 미스 콜로라도 출신의 매디슨 마쉬(22)가 우승했다고 보도했다. 이날 50명의 참가자 중 우승자로 자신의 이름이 호명되자 마쉬는 믿기 힘든 듯 기쁨의 환호성을 질렀다고 CNN은 전했다.마쉬는 대회 과정에서 독특한 이력으로 현지 언론의 주목을 받았다. 그는 미스 아메리카 대회에 최초로 출전한 현역 공군 장교다. 현재 미 공군 사관학교에서 훈련 장교로 복무하고 있으며, 계급은 중위다. 마쉬는 비행기 조종사와 우주비행사가 되고 싶다는 꿈을 안고 4년 전 콜로라도주 엘패소 카운티의 공군사관학교에 입학한 것으로 전해졌다. 그는 재학 중 학교의 허락을 받고 미인대회에 출전해 '미스 콜로라도'에 선발됐고, 미스 아메리카 대회까지 참가하게 됐다. 마쉬는 앞서 언론과의 인터뷰에서 ""다른 어린 소녀들과 조종사로서 군에 복무하는 것에 대해 이야기하는 것이 좋았다""며 ""미인대회는 여군에 대한 고정관념을 깨뜨릴 수 있는 기회로 여겼다""고 말했다. 또 ""춤과 노래를 잘할 수는 없지만, 관객이 나와 함께 조종석에 있는 듯한 느낌을 주어 그들의 마음을 사로잡겠다""는 포부를 밝히기도 했다.결국 그는 사상 최초로 미군 현역 장교로서 미스 아메리카 대회 우승까지 차지했다.다만, 마쉬는 사관학교 졸업 후 군 경력을 이어나가지는 않을 것으로 보인다. 그는 ""현재로서는 암 연구에 도전할 가능성이 가장 높다""며 ""췌장암을 앓던 어머니가 세상을 떠난 후 관심을 갖게 됐다""고 밝혔다. 이어 ""사관학교 졸업이 다가오면서, 정책 결정과 암 연구에 더 관심이 있다는 걸 깨달았다. 그게 내가 케네디 스쿨에 가게 된 이유""라고 덧붙였다. 마쉬는 사관학교에 재학하는 동안 공군의 특별 파트너십 프로그램을 통해 하버드 케네디 스쿨에서 공공 정책 대학원에 다니며 석사 학위를 취득한 것으로 알려졌다.
]"
"[고 이예람 중사 녹취록 요구 공군 정훈장교, 직권남용 무죄]",https://n.news.naver.com/mnews/article/003/0012313207?sid=102,"[
""절차적 문제 있지만, 직무수행 범위 내""



[서울=뉴시스] 김진아 기자 = 공군 내 성폭력 피해자인 고 이예람 공군 중사의 어머니 박순정 씨가 29일 오후 서울 서초구 서울중앙지방법원에서 열린 전익수 전 공군 법무실장의 선고 공판을 마친 후 입장을 밝히고 있다. 법원은 이날 고(故) 이예람 중사 사건 수사에 불법 개입한 혐의로 재판에 넘겨진 전익수 전 공군본부 법무실장에게 1심에서 무죄를 선고했다. 2023.06.29. bluesoda@newsis.com[서울=뉴시스] 하종민 기자 = 고(故) 이예람 중사 사건과 관련해 공군에 대한 비난여론을 반전시킬 목적으로 이 중사 동료에게 통화녹음 파일을 요청한 공군 정훈장교들의 직권남용권리행사방해 혐의가 최종 무죄로 판결됐다.대법원 1부(주심 노태악 대법관)는 11일 오전 10시10분 고 이예람 중사 사건과 관련된 통화녹음 파일을 요구한 공군 정훈장교 A과 B의 직권남용권리행사방해 상고심에서 피고인들의 행위가 직권남용에 해당하지 않는다고 판단한 원심 판결을 확정했다.대법원은 ""원심 판결에 직권남용권리행사방해죄에 관한 법리를 오해한 잘못이 없다""고 설명했다.앞서 공군곤부 공보정훈실장이었던 피고인 A와 공보계획담당장교였던 피고인 B는 공군에 대한 비난여론을 반전시킬 목적으로 이 중사의 동료인 C에게 이 중사와의 통화녹음 파일을 제출받아 언론사에 제공한 혐의를 받고 있다.이 과정에서 피고인들은 C의 소속 대대장과 비행단장을 통해 통화녹음 파일을 제공할 수 있도록 해 녹음파일을 전달받았다. 이를 통해 피고인들의 공보활동과 관련한 직권을 남용해 C에게 의무 없는 일을 하도록 강요한 혐의를 받았다.특히 피고인 B는 녹음파일이 유출될 경우 피해를 우려해 거절한 C를 회유하고, 자신이 C의 소속 대대장과 동기임을 강조해 압박을 느끼게 한 혐의를 받았다. 다만 1심과 2심에서는 모두 무죄를 선고했다.재판부는 ""피고인들이 뉴스 내용에 오보가 있는지 여부에 대해 군수사기관 등에 통해 면밀하게 확인하지 않았고, 정정보도나 반론보도 등의 법적인 절차를 거치지 않은 채 다른 기자를 통해 반박 보도를 하는 형식으로 대응하고자 한 면은 다소 부적절할 수 있다""고 지적했다.다만 ""'오보를 바로 잡겠다'라는 주된 인식하에 C에게 자료제공을 요청한 것이므로 직권 행사의 목적이 부당했다고 보기는 어렵다""고 설명했다.또 ""피고인들의 행위가 공보활동을 위해 관련 부서 또는 기관 등에 자료제공의 협조를 요청할 수 있는 직무상 권한을 불법·부당하게 행사한 것이라고 볼 수 없다""며 ""절차나 방법에 일부 부적절한 점이 있더라도 그 위법·부당의 정도가 실질적·구체적으로 직무의 수행이라고 평가할 수 없을 정도는 아니다""라고 판단했다.대법원도 검사의 상고를 기각하며 원심에서 직권남용에 대해 무죄로 판단한 판결을 확정했다．
]"
