title,link,content
"[국방부, 간부숙소 확보 위해 육군회관 전면 리모델링]",https://n.news.naver.com/mnews/article/056/0011647548?sid=100,"[




국방부가 간부 숙소 추가 확보를 위해 용산 국방부 영내에 있는 육군회관을 전면 리모델링하기로 했습니다.  국방부는 간부 숙소가 부족해 2인 1실을 사용하고 있는 국방부·합동참모본부 근무 군인들의 불편을 해소하기 위해 육군회관을 리모델링한다고 밝혔습니다.  1993년 1월 준공된 육군회관 건물은 운영을 중단할 수 없어 30년이 넘도록 기반시설 교체 없이 사용하고 있습니다.  지난해 4월 육군호텔이 개관해 운영이 안정화됐기 때문에 육군회관 운영을 중단하고, 노후화된 건물을 전면 리모델링해 간부 숙소 확보에 활용하기로 했다고 군은 설명했습니다.  국방부는 현재 국방부·합참에 근무하는 군인들 가운데 약 200여 명이 2인 1실로 사용하고 있다며, 육군회관 리모델링으로 약 100여 실이 추가 확보될 것이라고 밝혔습니다.■ 제보하기▷ 전화 : 02-781-1234, 4444▷ 이메일 : kbs1234@kbs.co.kr▷ 카카오톡 : 'KBS제보' 검색, 채널 추가▷ 네이버, 유튜브에서 KBS뉴스를 구독해주세요!
]"
"[용인시, 포곡 육군 항공대 이전 ‘주의’]",https://n.news.naver.com/mnews/article/468/0001024196?sid=102,"[




용인시청〔스포츠서울│용인=좌승훈기자〕경기 용인시는 최근 일부 민간사업자가 포곡읍 전대리 육군 항공대 이전 사업 시행자인 것처럼 말하고 다닌다는 이야기가 있는데 이는 사실과 다르다며 주의를 당부했다.시는 항공대 이전은 지역주민과의 공감대 형성, 중앙 정부와의 심도 깊은 논의를 통해 이뤄져야 하는 사안으로 현재 사업시행자를 선정할 정도로 때가 무르익지 않았다”고 23일 설명했다.특히 군부대 이전 사업은 국방부 훈령에 따라 이전할 곳에 대체 시설을 조성해 기부하고 원 부지에는 도시개발사업을 추진하는 방식으로 진행된다고 덧 붙였다.시 관계자는 “항공대 이전은 대체 부지 문제 등 신중하게 고려해야 할 것들이 많기 때문에 현 상태에서 시민들께 알려드릴 것은 없다”고 했다.그러면서 “일부에서 이 사업의 사업시행자라며 투자를 받는 경우도 있다고 하는 소문이 있는데 이 같은 헛소문에 시민들이 현혹되는 일이 발생하지 않도록 주의하시기 바란다”고 말했다.hoonjs@sportsseoul.com
]"
"[육군 37사단, 충북서 혹한기 훈련…""군사대비태세 확립""]",https://n.news.naver.com/mnews/article/003/0012332111?sid=102,"[




[청주=뉴시스] 조성현 기자 = 육군 37사단은 오는 29일부터 내달 2일까지 청주와 충주 등 충북지역 일대에서 혹한기 전술훈련을 한다고 22일 밝혔다.이번 훈련은 현장 중심의 동계 전·평시 작전 수행 능력 구비와 민·관·군·경·소방 통합방위 작전 수행 능력을 완비하기 위해 마련됐다.군은 상황 묘사를 위해 대항군 운용과 공포탄 등 교탄 사용, 주·야간 병력 및 장비를 동원할 방침이다.군 관계자는 ""일부 교통 불편 등이 예상되는 만큼 지역 주민의 협조를 당부 부린다""며 ""훈련 기간 중 작전지역 민·군 안전을 위해 유해조수 피해방지단은 활동을 자제해달라""고 말했다.
]"
"[건양대 학군단, 육군학생군사학교 평가 2년 연속 '최우수']",https://n.news.naver.com/mnews/article/008/0004989043?sid=102,"[




건양대 학군단이 육군학생군사학교의 '2023학년도 학군단 종합평가'에서 최우수 학군단에 선정됐다./사진제공=건양대건양대학교 학생군사교육단은 최근 육군학생군사학교가 실시한 학군단 종합평가에서 2년 연속 '대령급 최우수 학군단'에 선정됐다고 22일 밝혔다.육군학생군사학교는 매년 전국 108개 중·대령급 학군단을 운영 중인 대학을 평가한다. 평가 항목은 △우수인력 획득 △동·하계 입영훈련 △국방부 대학지원 △임관 △교내교육 및 행정업무 등으로 구성됐다. 건양대 학군단은 모든 평가 항목에서 좋은 평가를 받아 최우수 학군단에 선정됐다.이태희 건양대 학군단장(대령, 학군 33기)은 ""대학의 적극적인 지원과 전 간부, 후보생들의 끊임없는 노력으로 최우수 학군단에 선정될 수 있었다""며 ""대학의 교육목표인 가르쳤으면 끝까지 책임지는 자세로 육군에서 꼭 필요한 미래지향적 군인, 사회 발전에 기여할 수 있는 최고의 학군단을 만들겠다""고 소감을 전했다.한편 건양대 학군단은 현재까지 학군단 종합평가에서 '최우수' 8회, '우수' 3회를 기록했다. 특히 2015~2018년 연속 4회 최우수 학군단에 선정돼 2020년 7월 중령급에서 대령급 학군단으로 승격됐다.
]"
"[광주대 학생군사교육단, 2년 연속 ‘육군 최정예 학군단’ 선정]",https://n.news.naver.com/mnews/article/016/0002256123?sid=101,"[
,학군단 운영 등 각 분야에서  우수 평가



광주대 학생군사교육단, 2년 연속 ‘육군 최정예 학군단’ 선정[헤럴드경제(광주)=서인주 기자] 광주대학교(총장 김동진) 학생군사교육단이 2023년도 우수부대(학군단) 선발에서 ‘용’분야 최정예 학군단으로 선정됐다.광주대 학생군사교육단은 지난 1년 동안 전투준비, 후보생 교육훈련, 학군단 운영 분야에서 우수 평가를 받아 전국 대학교에 설치된 육군 학생군사교육단 가운데 최우수 학군단의 영예를 안았다.광주대학교는 학군사관후보생들에게 장학금 전액 지급 및 국·내외 탐방, 리더십 및 드론 교육 등 후보생들에게 특화된 프로그램을 제공하여 우수 후보생 모집과 육성에 적극적인 지원을 하고 있다.2012년 창설 이후 2015년부터 현재까지 총 212명(남자 186명, 여자 26명)의 학군장교(ROTC)를 배출하는 한편 여러 차례 국방부 평가 및 육군 학군단 평가에서 우수한 성적을 거두어 정예 초급장교 양성기관으로 자리매김하고 있다
]"
"[美 육군 험프리스 기지사령부, 한국관광공사에 감사패 수여]",https://n.news.naver.com/mnews/article/666/0000031627?sid=102,"[
 



    라이언 워크맨 기지사령관(오른쪽 셋째)가 김정아 한국관광공사 대전충남지사장(왼쪽 넷째)에게 감사패를 수여한 뒤 기념사진을 촬영하고 있다. 주한미군 제공      주한 미 육군 험프리스 기지사령부(이하 기지사령부)가 한국관광공사(이하 공사)에 감사의 마음을 전했다.   기지사령부는 최근 라이언 워크맨 기지사령관이 김정아 공사 대전충남지사장에게 감사패를 전달했다고 22일 밝혔다.   이번 감사패 수여는 2023년 ‘K-컬처 여행’ 프로그램을 성공적으로 운영한 데 따른 것이다.   앞서 기지사령부와 공사는 지난해 6월 한미 동맹 70주년을 맞아 업무협약 후 험프리스 주둔 미군과 가족을 대상으로 한국의 문화와 자연을 경험할 수 있는 K-컬처 여행 프로그램을 운영해 왔다.   이 프로그램으로 지난 10월까지 총 9회에 걸쳐 600여명의 미군과 가족들이 충남 태안, 청양, 금산 등 명소를 방문하고 한복·한옥 체험과 막걸리·떡 만들기 등을 체험했다.   워크맨 사령관은 “캠프 험프리스의 목표 중 하나는 군인과 가족, 민간인이 이곳에서 생활하는 동안 한국문화를 경험하도록 하는 것”이라며 “공사는 이러한 목표를 달성하는 데 중요한 역할을 했으며 올해도 지속적인 협력을 기대한다”고 말했다.
]"
"[전 육군 소장 기사회생…""구체적 현안 목적 아니면 알선수재 아냐""]",https://n.news.naver.com/mnews/article/629/0000262088?sid=102,"[
대법, 유죄 인정한 원심 파기환송



방산업체와 자문계약을 맺고 국방부를 상대로 활동한 전직 장성에게 무죄 취지의 대법원 판결이 나왔다./더팩트 DB방산업체와 자문계약을 맺고 국방부를 상대로 활동한 전직 장성에게 무죄 취지의 대법원 판결이 나왔다. 구체적 현안 해결 목적으로 맺은 계약이 아니라면 알선수재로 보기 어렵다는 것이다.대법원 3부(주심 안철상 대법관)는 특정범죄가중법상 알선수재 등 혐의로 기소된 전 육군 소장 A 씨에게 징역 1년에 집행유예 2년을 선고한 원심을 깨고 사건을 서울고법에 돌려보냈다고 21일 밝혔다.국방부 군수분야 고위직 간부로 근무한 전 육군 소장 A 씨는 2015년 수리온헬기 예산 현실화, 사업 수주 등을 놓고 국방부를 상대로 로비활동을 해달라는 요청을 받고 B 방산업체와 자문계약을 맺었다. 대가는 12회에 걸친 자문료와 법인카드 대금 등 약 5595만 원이었다.1,2심은 A 씨의 알선수재 혐의를 인정해 징역 1년에 집행유예 2년, 추징금 7528만여원을 선고했다.대법원은 A 씨가 B업체와 맺은 자문계약은 적법하며 계약과 달리 실제 공무원의 직무사항을 알선하며 금품을 받았는지는 증명이 부족하다며 무죄 취지 판결을 내렸다.계약이 구체적 현안의 직접적 해결을 전제하지 않고 전문적인 지식과 경험에 바탕을 둔 편의 제공 대가로 보수를 받았다면 일반적 노무제공 행위일뿐 알선수재 범죄라고 볼 수 없다는 뜻이다.검찰의 공소사실에 포함된 헬기 예산 현실화, 사업수주 등은 매우 포괄적이고 B 업체의 사업 전반에 해당해 '구체적인 현안의 직접적 해결'을 목적으로 했다고 볼 수 없다고 판시했다.제출된 증거를 봐도 A 씨의 행위는 평소 네트워크를 활용해 B 업체의 입장을 객관적으로 설명하고 전달한 정상적 영업보조활동으로 평가할 수 있다고 밝혔다.A 씨가 받은 보수는 같은 회사에서 대관 업무를 하는 군 장성 출신 임원들보다 훨씬 적고 사회통념상 이정도 규모의 방산사업 알선 대가에도 미치지 못한다고도 봤다. 대법원은 ""검사가 제출한 증거만으로는 계약이 형식적인 것에 불과해 A 씨가 공소사실과 같은 공무원의 직무에 속한 사항을 알선하고 금품을 수수했다고 합리적 의심의 여지가 없을 정도로 증명됐다고 보기 어렵다""며 ""원심은 피고인이 경영전반 일반적 자문을 하고 보수를 수령한 것이 아니라 알선수재 행위를 한 사정이 있는지에 더 심리했어야 했다""고 원심을 파기했다.발로 뛰는 더팩트는 24시간 여러분의 제보를 기다립니다.▶카카오톡: '더팩트제보' 검색▶이메일: jebo@tf.co.kr▶뉴스 홈페이지: http://talk.tf.co.kr/bbs/report/write
]"
[육군의 미래 전략·정책 발전 위해 '맞손'],https://n.news.naver.com/mnews/article/656/0000077095?sid=102,"[
국방대 연구소-육군본부 정책실 업무협약국제정세·국방전략기술·정책연수 등 협력



국방대학교 국가안전보장문제연구소-육군본부 정책실 업무협약식 기념촬영 장면 사진=국방대학교 제공[논산]국방대학교(총장 임기훈) 국가안전보장문제연구소(이하 안보문제연구소)는 최근 본교 컨벤션센터에서 안보문제연구소장(박영준 교수), 육군본부 정책실장(최성진 소장) 주관으로 양 기관의 상호 교류와 협력 증진을 위한 업무협약식을 가졌다. 두 기관은 이번 협약을 바탕으로 △국제정세, 북한·주변국 전략 및 위협에 관한 사항 △국방정책, 육군 정책·전략 발전 △국방과학기술 및 국방전략기술 10대 분야(인공지능, 유·무인 복합, 양자, 우주, 에너지, 첨단소재, 사이버·네트워크, 센서·전자기전,추진, WMD 대응)에 관한 사항 △육군 동원 정책 및 예비전력 운용 발전 △세미나, 포럼, 정책연수 참여 등을 협력하기로 했다. 박영준 국방대학교 안보문제연구소장은 ""본격적인 인도·태평양 시대와 급변하는 미래 국방환경에 육군이 주도적으로 대응하기 위해서는 전문성을 갖춘 기관과 협력이 필수""라며 ""이번 협약을 통해 국방대의 전문적인 연구성과를 군사적으로 활용해 육군의 미래 정책·전략 발전에 적극적으로 협력해 나가겠다""고 밝혔다. 최성진 육군본부 정책실장은 ""육군은 급변하는 국방환경의 위기와 도전을 극복하고 변화와 혁신을 위한 실행력 제고를 위해 국방대학교 안보문제연구소와 긴밀히 협력하겠다""며 ""국방혁신 4.0 추진과 미래 군구조 발전을 위한 노력 등 다양한 분야에서 협력을 강화해 나가겠다""고 말했다.
		]"
"['계곡 사망' 육군하사 재심서 순직 인정…""상급자 회유로 사망""]",https://n.news.naver.com/mnews/article/001/0014455972?sid=100,"[
육군 '일반사망' 결정에 국가인권위 재심 권고



국방부[국방부 제공. 재판매 및 DB 금지]    (서울=연합뉴스) 김준태 기자 = 2021년 선임 부사관들과 함께 경기 가평의 계곡을 찾았다가 물에 빠져 숨진 고(故) 조재윤 하사의 순직이 인정됐다.    19일 국방부에 따르면 조 하사에 대한 전공사상 재심을 맡은 중앙전공사상심사위원회에서는 지난달 8일 이 같은 결정을 내렸다.    중앙전공사상심사위는 조 하사의 사망이 상급자의 '계곡으로 다이빙하라'는 회유에 따른 것이며, 공무와 인과관계가 있다는 판단을 내린 것으로 알려졌다.    앞서 육군 보통전공사상심사위원회는 2022년 5월 조 하사가 동료와 물놀이 중 숨졌다는 이유로 '일반 사망' 판정을 내렸다.    하지만 같은 해 11월 국가인권위원회는 선임들이 조 하사가 수영을 못하는 것을 인식했고, 조 하사가 거부 의사를 표현했는데도 지속해서 회유했기에 조 하사의 사망을 순직으로 보는 것이 타당하다고 국방부 장관에게 권고해 재심이 진행됐다.    readiness@yna.co.kr
]"
"[BTS RM·뷔, 훈련소 마치고 이등병 달아…'최정예 훈련병' 선발(종합)]",https://n.news.naver.com/mnews/article/001/0014448360?sid=100,"[
RM 영상편지서 ""군 필요성 깨달았다…야간행군 가장 기억에 남아""



육군훈련소 훈련병 수료식을 마친 방탄소년단 RM과 뷔[RM 인스타그램 캡처]    (서울=연합뉴스) 김귀근 기자 = 그룹 방탄소년단(BTS)의 RM과 뷔가 16일 육군훈련소에서 훈련병 수료식을 마치고 이등병 계급장을 달았다.    육군에 따르면 RM과 뷔는 5주간의 제식훈련, 정신교육, 구급법, 각개전투, 화생방 등 기초 군사훈련을 마치고 이날 수료했다. '최정예 훈련병'에 선발된 이들은 수료식 행사에서 표창을 받기 위해 단상에 섰다. 육군훈련소 최정예 훈련병은 200명 중 5명 정도만 선발되며 포상휴가도 받는다.    특히 수료식에서는 RM의 영상편지도 공개됐다. 그는 자원해서 영상으로 소감을 밝힌 것으로 알려졌다.    그는 ""입대 자체를 장기간 미뤄왔고 나이도 제법 좀 있는 상태에서 입대하다 보니 많은 것들이 두렵고 걱정이 됐었던 것이 사실""이라며 ""늦게 입대하는 바람에 같이 생활했던 생활관의 동기들은 거의 대부분이 저와 열 살가량 차이 나는 어린 동기 훈련병들과 함께 생활하게 되었다""고 소감을 피력했다.    그러면서 ""정신전력 교육을 통해 분단국가이자 휴전국가인 우리 대한민국에서 군의 필요성, 기초군사훈련의 필요성을 절실히 깨달았다""며 ""저에게는 육군훈련소가 아니었으면 해보지 못했을 경험들이 아주 많았다. 특히 며칠 전에 완료한 야간행군이 가장 기억에 남는다""고 말했다.    RM은 ""밤새 전우들과 함께 행군을 하면서 힘들 때 별을 보고 함께 응원을 나누면서 말로만 듣던 그 전우애가 무엇인지 느낄 수 있었다""며 ""훌륭하신 간부님들과 분대장님들 덕에 굉장히 생소했던 많은 훈련들도 보람되고 재미있게 완료할 수 있었다""고 전했다.    그는 ""자연스럽게 군 생활 속에서의 의의, 재미와 보람을 찾을 수 있었다""며 ""모두가 사격술을 배울 필요가 없는 그런 세상이 가장 이상적이겠지만 70여년간 대한민국에서 누려온 이 평화는 많은 분들의 숭고한 희생과 노력, 헌신이 있었다는 것을 상기해보면서 앞으로의 남은 군 생활에서도 최선을 다하여 임무를 수행하겠다""고 끝을 맺었다.    RM은 이번 주 중 자대에 배치되고, 입대 전 수도방위사령부 특수임무대(SDT)에 지원한 뷔는 3주간의 후반기 교육을 받은 후 군 복무를 시작한다.    방탄소년단은 2022년 12월 맏형 진을 시작으로 멤버 전원이 병역 의무를 이행하고 있다.    작년 4월 제이홉, 작년 12월 RM·뷔·지민·정국이 입대했으며 슈가도 지난해 9월부터 사회복무요원으로 근무하고 있다.    threek@yna.co.kr
]"
