title,link,content
[구보하는 해군 심해잠수사],https://n.news.naver.com/mnews/article/421/0007298319?sid=100,"[




(창원=뉴스1) 윤일지 기자 = '큰 추위'라는 뜻의 절기 대한을 이틀 앞둔 18일 경남 창원시 진해 군항에서 해군 심해잠수사(SSU)들이 구보를 하며 혹한기 훈련을 하고 있다. 2024.1.18/뉴스1
		]"
['겨울바다 속으로' 해군 SSU 혹한기 훈련],https://n.news.naver.com/mnews/article/421/0007298964?sid=100,"[




(창원=뉴스1) 윤일지 기자 = '큰 추위'라는 뜻의 절기 대한을 이틀 앞둔 18일 경남 창원시 진해 군항에서 해군 심해잠수사(SSU)들이 차가운 겨울 바다로 뛰어들며 혹한기 훈련을 하고 있다. 2024.1.18/뉴스1
		]"
[후티반군 '이란제 무기' 압수 작전서 美해군 특수부대원 실종(종합2보)],https://n.news.naver.com/mnews/article/421/0007296264?sid=104,"[
돛단배 선적 미사일, 이란산 확인…실종된 2명 수색작전 진행반군에 세번째 공습 단행했지만…후티, 그리스 상선에 미사일



지난해 12월 예멘 알 살리프 해안에 총기로 무장한 후티 반군 대원들이 소형 보트에서 내리는 모습. 이들 뒤로 후티 반군이 지난해 11월  나포한 자동차운반선 '갤럭시리더호'가 보인다. 2023.12.5. ⓒ 로이터=뉴스1 ⓒ News1 김성식 기자(서울=뉴스1) 김성식 박재하 기자 김현 특파원 = 미군이 예멘 후티 반군에 공급되던 이란제 무기를 해상에서 압수하는 과정에서 미 해군 특수부대원 2명이 실종된 사실이 사고 닷새 만에 알려졌다. 압수된 미사일들은 최근 후티반군의 상선 공격에 사용된 것과 동일한 기종인 것으로 확인됐다.미국은 예멘 내 후티 반군 근거지에서 발사 준비를 마친 대함미사일을 상대로 세번째 표적 공습을 단행했지만 반군은 그리스 해운사 소유 벌크선에 미사일을 발사하며 맞대응했다.로이터 통신과 월스트리트저널(WSJ)에 따르면 중동 지역을 담당하는 미군 중부사령부(CENTCOM)는 16일(현지시간) 성명을 통해 지난 11일 소말리아 인근 아라비아해를 항해하던 아랍 돛단배 '다우(dhow)' 한 척에서 이란제 미사일 등을 압수했다고 발표했다.압수된 품목에는 중거리탄도미사일(MRBM)과 대항순항미사일(ASCM), 방공무기 등이 포함됐다. 초기 분석을 마친 CENTCOM은 후티 반군이 홍해상의 상선을 공격하는 데 이같은 무기를 사용한 것으로 파악했다.지난해 11월 반군의 상선 공격이 시작된 이래 이란제 첨단 재래식무기(ACW)가 압수된 건 이번이 처음이다. 에릭 쿠릴라 CENTCOM 사령관은 ""이란이 후티 반군에게 살상 무기를 계속 공급해 왔다는 게 분명해졌다""며 ""이란이 중동 지역 전체를 불안정하게 만들고 있다""고 비판했다.CENTCOM은 압수한 미사일 사진도 이날 공개했다. 사진에는 약 30개의 부품이 찍혔는데 영국 싱크탱크인 국제전략문제연구소(IISS) 파비안 힌츠 연구원은 WSJ과의 인터뷰에서 이란제 대함 순항미사일과 사거리 800마일(약 1300㎞)짜리 로켓 엔진으로 보인다고 분석했다. 



16일(현지시간) 미군 중부사령부(CENTCOM)가 지난 11일 소말리아 인근 아라비아해를 항해하던 돛단배 한 척에서 압수한 이란제 미사일을 공개했다. 해당 미사일은 예멘 후티 반군의 상선 공격에 사용된 것과 동일한 기종인 것으로 확인됐다(X ''CENTCOM' 갈무리). 2024.1.16.아울러 CENTCOM은 앞서 소말리아 해역에서 실종된 것으로 전해진 미 해군 특수부대 '네이비실' 대원 2명이 지난 11일 후티 반군 무기 압수 작전 도중 실종됐다고 밝혔다. WJS은 이날 미 국방부 관계자를 인용해 당시 네이비실 대원 1명이 문제의 도우에 올라타던 도중 물에 빠지자 다른 대원 1명이 훈련 매뉴얼에 맞춰 뒤따라 입수해 모두 실종됐다고 전했다. 국방부 관계자는 네이비실 대원수가 몇 안 되기 때문에 실종 대원 가족들에게 관련 내용을 전달할 때까지 미군이 공식 발표를 미뤄왔다고 설명했다. 또한 아라비아해 수온이 높은 데다 현재 철저한 수색 작전이 진행되고 있는 만큼 대원들이 생환할 가능성이 있다고 덧붙였다. 이란의 무기 지원 사실을 확인한 CENTCOM은 이날 예멘 내 후티 반군의 근거지를 상대로 표적 공습을 가해 발사 준비 태세를 마친 대함탄도미사일(ASBM) 4기를 파괴했다. CENTCOM은 성명을 통해 파괴된 미사일이 지역 상선과 미군 함정에 즉각 위협을 가할 수 있었다고 공습 필요성을 강조했다. 실제로 전날 홍해상을 지나던 미국 해운업체 소유 벌크선 지브롤터 이글호는 후티 반군이 쏜 대함 미사일에 맞아 화물 적재함 일부가 손상됐다. 지난해 10월 발발한 이스라엘·하마스 전쟁에서 하마스 지지 의사를 표명한 후티 반군은 11월 중순부터 지금까지 홍해 상선을 향해 최소 30회 이상 미사일과 드론(무인기)을 발사했다. 이에 미국은 후티 반군의 공격 능력을 제거하기 위해 지난 12일 영국과 함께 후티 반군의 근거지 28개 지역 60여개 군사 목표물에 150발 이상의 미사일을 투하했다. 14일에는 예멘의 수도 사나의 후티 레이더 시설에 추가 공격을 단행했다. 따라서 이날 ASBM 파괴는 미국이 이틀 만에 단행한 세번째 공습에 해당한다. 그럼에도 후티 반군은 미군의 공습 직후 이날 홍해를 운항하던 그리스 해운업체 소유 벌크선 조그라피아호를 향해 미사일 1발을 쏴 자신들의 건재함을 과시했다. 피격 상선에서 인명피해는 발생하지 않았으며 항행을 이어가고 있다고 CENTCOM은 밝혔다. 영국 해양보안 컨설팅업체 P2P그룹에 따르면 조그라피아호는 미사일 공격을 받기 직전 소형 보트를 탄 괴한의 총격을 받았다고 한다.



12일(현지시간) 미군 중부사령부(CENTCOM)가 공개한 사진으로 전투기 한 대가 예멘 후티 반군에 대한 표적 공습 작전에 합류하기 위해 비상하고 있다. 2024.01.12 ⓒ 로이터=뉴스1 ⓒ News1 정지윤 기자
]"
[해군 학군사관후보생 동계입영훈련 수료식],https://n.news.naver.com/mnews/article/001/0014455221?sid=100,"[




    (창원=연합뉴스) 19일 경남 창원시 진해구 해군 기초군사교육단에서 열린 '2024년 학군사관후보생 동계입영훈련 수료식'에서 한 후보생이 신유찬 기초군사교육단장에게 경례하고 있다. 2024.1.19 [해군 제공. 재판매 및 DB 금지]    image@yna.co.kr
]"
"[해군2함대, 제2수리창 '협동 용접로봇' 도입]",https://n.news.naver.com/mnews/article/003/0012324551?sid=102,"[
용접공정 안전성 및 품질 향상 기대연간 9000여만원 정비예산 절감 효과 예상



[평택=뉴시스]  해군 2함대 수리창 군무원이 도입한 협동용접로봇의 성능을 시험하고 있다. (사진 = 해군2함대 사령부 제공)[평택=뉴시스] 정숭환 기자 = 해군 2함대사령부는 17일 제2수리창(2함대 수리창) 함선공장에 협동용접로봇을 도입했다고 밝혔다. 함정은 다품종의 제작품이 복합적으로 구성된 무기체계로 함정 정비에 있어 많은 용접 소요가 발생한다. 2함대 수리창은 용접품질의 균일화와 정비효율 향상을 위해 용접 분야의 협동로봇 도입을 적극 추진했다. 2함대 수리창은 지난 2023년 한국로봇산업진흥원에서 주최한 '국가산업 기반 첨단제조로봇 실증사업'에 ‘협동로봇을 이용한 수용접 대체 로봇용접 및 용접선 자동인식 공정 실증’ 필요성을 제기했다.이후 지난해 8월 계명대학교, ㈜뉴로메카 등과 협약을 체결해 합동으로 협동용접로봇을 개발했다. 해군 정비 분야에 최초로 도입된 협동용접로봇은 기존 사람이 하던 용접 작업을 사람의 도움을 받은 로봇이 대신 수행한다.함정 정비 간 안전성을 확보하고 정밀도를 향상할 수 있을 것으로 기대하고 있다.2함대 수리창은 협동로봇을 활용해 함정 선체(늑골, 보강재 등)와 각종 의장품 제작 및 용접 임무를 유·무인 복합 공정으로 수행할 예정이다. 이와함께 용접공정의 안전성 및 품질 향상은 물론 연간 9000여만 원의 정비예산 절감 효과도 예상하고 있다.이번 협동용접로봇 도입에 따라 함정 정비지원 역량의 첨단화는 물론 유무인 복합정비체계 구축에 크게 기여하게 될 것으로 기대하고 있다.이창환 제2수리창장은 “4차 산업혁명과 연계한 최첨단 기술을 함정 정비분야에 지속 도입 및 접목시켜 서해를 수호하는 전투함정들이 임무에만 매진할 수 있도록 스마트한 정비환경 구축에 매진하겠다”고 말했다.
]"
"[미군, 특전사 2명 대 후티반군 아라비아해 작전중 실종전사]",https://n.news.naver.com/mnews/article/003/0012332959?sid=104,"[
열흘 전 이란 무기공급 압수 작전 중 파도에 휩쓸여 실종



[AP/뉴시스]영국 국방부가 제공한 이 사진에서 영국 공군의 타이푼 전투기가 11일 키프로스의 아크로티리 공군기지에서 예멘의 목표물을 타격하기 위해 출격하고 있다. 미국 주도로 이뤄진 예멘 후티 반군 공습으로 최소 5명이 사망하고 6명이 부상했다고 후티 반군 대변인이 12일 밝혔다. 2024.01.12.[서울=뉴시스] 김재영 기자 = 미군 중부군 사령부는 21일(일) 열흘 전 아라비아해에서 예멘 후티 반군으로 가는 이란제 무기 공급 현장을 급습하다 실종된 2명의 해군 특전사 요원을 사망 판정했다고 밝혔다. 후티 반군이 세계적 무역로인 홍해 통과의 상선들을 지난해 11월부터 공격한 이후 이의 대응에 나섰던 미군에서 첫 전사자가 나온 것이라고 뉴욕 타임스 등은 전했다.지난 11일 밥 알만답 해협을 통해 홍해로 들어가기 직전의 인도양 아라비아해에서 미 해군 씰(해상 공중 육상) 특전사 요원들은 아프리카 소말히아 해안에서 야간 작전에 들어갔다.이들은 타깃인 불법 소형 선박에 올라가 예멘 후티 반군에게 가던 이란 제 탄도 미사일과 순항 미사일 부품 등을 빼앗아 압수했다.   특공대가 파도 험한 바다에서 이 '도우'로 불리는 작은 배에 오르려고 하던 작전 초반에 한 요원이 승선 사다리에서 미끄려진 것인지 모르나 높은 파도에 휩쓸려 떠내려가게 되었다. 이를 보고 다른 요원이 바다 속으로 뛰어들었으나 둘 다 파도 아래로 사라지고 말았다.작전 후 미군은 열흘 동안 사고 해역의 5만5000㎢를 뒤졌으나 실종 대원들을 찾지 못했다. 수색 구조 작전의 면적은 남한의 반에 해당된다.  미 해군 씰의 소말리아 해안 야간 작전에서 후티 반군의 홍해 공격 후 처음으로 이란 공급 무기들이 압수된 것이며 이 중거리 탄도 미사일과 대함 순항 미사일 등은 후티 반군이 홍해 선박 공격 때 사용하던 것과 같은 종류라고 미군은 말했다.후티 반군이 지난해 11월19일 이후 27차례 홍해 상선 공격을 행한 뒤인 지난 11일 미군과 영국군이 처음으로 예멘 서부의 후티 반군 군사시설에 대한 대대적인 공습과 미사일 공격을 가했다.해군 씰의 압수 작전과 같은 날이며 미군의 대 후티 내륙 공격은 지금까지 5차례 이어지고 있다．
]"
"[美 해군, 후티반군 보복 우려 홍해·아덴만 수역 회피 경고]",https://n.news.naver.com/mnews/article/003/0012316558?sid=104,"[




[서울=뉴시스]이재준 기자 = 미국 해군당국은 12일(현지시간) 후티반군의 보복공격을 경계해 자국선적 선박에 홍해와 아덴만의 예멘 주변 수역에는 접근하지 말라고 경고했다.AP와 AFP 통신 등에 따르면 해군당국은 이날 미국과 영국이 후티반군 거점에 수차례 공습을 감행한 후 앞으로 72시간 동안 홍해와 아덴만의 예멘에 인접한 해역에는 들어가지 말고 밖에 머물라고 통지했다.해군당국은 후티반군이 미국 주도 공격에 반발해 강력한 보복을 천명함에 따라 이스라엘과 팔레스타인 무장세력 하마스 간 전쟁이 확산할 우려가 고조하는 가운데 이 같은 경고를 발령했다.백악관은 후티반군이 미국 등을 대상으로 보복공격에 나설 것으로 예상한다고 밝혔다.국가안보회의(NSC) 존 커비 전략소통조정관은 ""아무도 후티반군이 어떤 형태의 보복을 전개할 가능성에 관해 예측하기 어렵다""며 걱정했다.미국은 영국과 홍해에서 상선을 자폭드론과 미사일로 공격한 후티반군의 군사시설 등에 공습을 가했다.이로 인해 시설물 파괴 외에도 후티반군 측에서 최소한 5명이 숨지고 6명이 부상하는 인명피해까지 발생했다.미국은 후티반군이 장악한 예멘의 16개 지역에 있는 60여개 목표를 공중타격했다고 발표했다．
]"
[한미일 해상 훈련 실시],https://n.news.naver.com/mnews/article/001/0014449283?sid=100,"[




    (서울=연합뉴스) 한미 해군 및 일본 해상자위대는 지난 15일부터 17일까지 제주 남방 공해상에서 한미일 해상 훈련을 실시했다. 오른쪽 아래쪽부터 미국 해군 이지스구축함 키드함, 미국 해군 순양함 프린스턴함, 한국 해군 이지스구축함 세종대왕함, 미국 해군 항공모함 칼빈슨함, 일본 해상자위대 이지스구축함 콩고함, 한국 해군 구축함 왕건함, 미국 해군 이지스구축함 스터릿함. 2024.1.17 [합동참모본부 제공. 재판매 및 DB 금지]    photo@yna.co.kr
]"
"[美하원중국특위 ""태평양 연료저장시설 확보"" 해군에 촉구]",https://n.news.naver.com/mnews/article/001/0014454394?sid=104,"[
대선 후 대만해협 긴장 고조 가능성 속 폐쇄된 하와이 시설 대안 마련 요구



하와이 진주만의 미군 함정(본문 내용과 관계없음)[AP 연합뉴스 자료사진](워싱턴=연합뉴스) 조준형 특파원 = 최근 대만 총통선거에서 친미·독립 성향 민진당의 집권이 연장, 대만해협 긴장 고조 가능성이 거론되는 가운데 미국 하원의 대중국 강경파 의원들이 인도·태평양 지역 병참의 '구멍'을 메우라고 행정부에 촉구하고 나섰다.     미국 하원의 중국 공산당 특별위원회(위원장 마이크 갤러거·이하 특위)는 17일(현지시간)자로 카를로스 델 토로 미 해군장관에게 보낸 서신에서 석유 유출에 따른 식수 오염 문제로 2022년 폐쇄된 하와이 호놀룰루 진주만 기지의 '레드힐' 지하 연료저장소의 '대안' 마련을 요구했다.     2차 세계대전때부터 사용된 이 저장소는 연료 저장가능 용량이 2억5천만 갤런(약 94만6천㎥)에 달한다.     연합뉴스가 입수한 서신에 따르면 특위는 미국이 수천km 떨어진 서태평양으로 군사력을 투사하려면 태평양 지역의 기지와 함정, 항공기에 급유를 계속하기 위한 강력한 병참 네트워크를 보유해야 한다고 지적했다.     특위는 하와이 레드힐 연료저장소 폐쇄가 ""지정학적 도전""을 가중시켰다며 레드힐의 대안을 확보하는 실행가능하고 장기적인 계획을 만드는 것이 전략적으로 필수적이라고 지적했다.     그러면서 특위는 인도·태평양 지역에 새로운 지하 연료저장시설을 건설할 계획이 있는지, 레드힐을 대체할 저장시설 부지를 특정했는지, 새 저장시설 건설에 필요한 의회의 지원 등에 대한 서면 답변을 내달 7일까지 달라고 요구했다.     jhcho@yna.co.kr
]"
"[한화오션, '제2연평해전 승전 기념회' 장학기금 전달]",https://n.news.naver.com/mnews/article/003/0012330334?sid=101,"[




[서울=뉴시스]한화오션은 지난 19일 제2연평해전 승전기념회에 장학기금을 전달했다고 밝혔다. 사진 왼쪽 세 번째부터 이용욱 특수선사업부장 부사장, 양용모 해군참모총장, 최윤희 제2연평해전 승전기념회장, 서영석 제2연평해전 유가족회장 등 순. (사진=한화오션 제공) photo@newsis.com *재판매 및 DB 금지[서울=뉴시스]이인준 기자 = 한화오션은 지난 19일 사단법인 제2연평해전 승전 기념회에 장학기금 3000만원을 기탁했다고 21일 밝혔다. 이 6전달식에는 한화오션 특수선사업부장 이용욱 부사장과 기념회의 최윤희 회장을 비롯해 양용모 해군참모총장, 서영석 유가족회장 등이 참석했다.한화오션이 전달한 장학기금은 전액 지난 2002년 제2연평해전 전사 장병의 유가족, 참전 장병 자녀들의 교육과 국가 인재 양성을 위해 사용될 예정이다. 기념회에 대한 민간 기업의 후원은 한화오션이 처음이다. 한화오션은 앞으로도 참전 해군 장병과 전사자 유가족에 대한 지원을 꾸준히 이어가겠다고 밝혔다.이용욱 한화오션 특수선사업부장 부사장은 ""한화오션은 대한민국 대표 해양 방산업체로서 사회적 의무를 다함과 동시에 사업보국(事業報國)의 창업 이념을 계승할 다양한 활동을 전개하겠다""고 말했다.
]"
